   0: 0x0000000080000000..0x00000000fffdffff
   1: 0x00000000fffe0000..0x00000000ffffffff
   2: 0x0000000100000000..0x00000010189edfff
   3: 0x00000010189ee000..0x0000001018b5ffff
   4: 0x0000001018b60000..0x0000001018b6afff
   5: 0x0000001018b6b000..0x0000001018b6bfff
   6: 0x0000001018b6c000..0x000000102604ffff
   7: 0x0000001026050000..0x0000001027f8ffff
   8: 0x0000001027f90000..0x000000102c5fffff
   9: 0x000000102c600000..0x000000102c7fffff
  10: 0x000000102c800000..0x000000102cd6ffff
  11: 0x000000102d700000..0x000000102d7fffff
  12: 0x0000001032000000..0x0000001033ffffff
